district_a,district_b,score_a,score_b,score_gap,cluster_a,cluster_b,biggest_domain_gap,row_a,row_b
Hardoi (Uttar Pradesh),Bharuch (Gujarat),0.5299301064663668,0.5327067347321826,0.002776628265815706,6,7,0.6417206632272152,642,144
South East (NCT Delhi),Malkangiri (Odisha),0.6327976205307947,0.6329132713385566,0.00011565080776188008,2,4,0.6415563065311098,429,452
Gumla (Jharkhand),Mokokchung (Nagaland),0.5889571828866778,0.5903416432795624,0.0013844603928846455,4,1,0.6414093254154682,234,414
Latehar (Jharkhand),Palakkad (Kerala),0.5596472793810376,0.5625093584096452,0.002862079028607578,6,3,0.6399389912033772,239,289
Papum Pare (Arunachal Pradesh),Garhwa (Jharkhand),0.5086785538333242,0.5127357461516312,0.004057192318307035,1,6,0.6395091405057065,28,231
Bishnupur (Manipur),Mewat (Haryana),0.4995255315678477,0.5027390367000252,0.0032135051321774966,1,6,0.6379401409861164,382,185
Kandhamal (Odisha),Madurai (Tamil Nadu),0.6581365535388186,0.65904785506923,0.0009113015304114125,4,3,0.6364773681762108,447,536
East Godavari (Andhra Pradesh),South West Khasi Hills (Meghalaya),0.5215152868899147,0.5267737765365229,0.005258489646608244,0,1,0.6364351019235626,5,398
Kolkata (West Bengal),Narayanpur (Chhattisgarh),0.6000909016536673,0.6024117263860163,0.0023208247323489584,2,4,0.6359848359278074,692,126
Nabarangapur (Odisha),Chamoli (Uttarakhand),0.6545489398542632,0.6547754728472361,0.00022653299297292762,4,5,0.6359804524997597,454,598
Garhwa (Jharkhand),East Godavari (Andhra Pradesh),0.5127357461516312,0.5215152868899147,0.008779540738283464,6,0,0.6359204607380585,231,5
Guntur (Andhra Pradesh),Dhenkanal (Odisha),0.6065078687009482,0.6065283854250764,2.0516724128172292e-05,0,5,0.6358185944312016,6,440
Rayagada (Odisha),South District (Sikkim),0.5997608321426621,0.6006029378417962,0.0008421056991341214,4,2,0.6356730042633097,458,523
Visakhapatnam (Andhra Pradesh),Alappuzha (Kerala),0.6144943794279588,0.6160406437852519,0.0015462643572931034,0,3,0.6356268816235169,12,280
Cachar (Assam),East Godavari (Andhra Pradesh),0.517274294156777,0.5215152868899147,0.004240992733137716,7,0,0.6354663275881512,40,5
